Key,Adv,Date,WindField,NE,SE,SW,NW
AL011998,7,1998-07-29T03:00:00Z,34,100,50,50,100
AL011998,8,1998-07-29T09:00:00Z,34,100,50,50,100
AL011998,9,1998-07-29T15:00:00Z,34,100,50,50,100
AL011998,10,1998-07-29T21:00:00Z,34,100,50,50,100
AL011998,11,1998-07-30T03:00:00Z,34,100,50,50,100
AL011998,12,1998-07-30T09:00:00Z,34,100,50,50,100
AL011998,13,1998-07-30T15:00:00Z,34,100,50,50,100
AL011998,14,1998-07-30T21:00:00Z,34,100,50,50,100
AL011998,15,1998-07-31T03:00:00Z,34,100,50,50,100
AL011998,16,1998-07-31T09:00:00Z,34,125,75,75,125
AL011998,17,1998-07-31T15:00:00Z,34,125,25,25,125
AL011998,18,1998-07-31T21:00:00Z,34,125,0,0,125
AL011998,19,1998-08-01T03:00:00Z,34,125,30,30,125
AL011998,20,1998-08-01T09:00:00Z,34,125,30,30,125
AL011998,21,1998-08-01T15:00:00Z,34,125,30,30,125
AL011998,22,1998-08-01T21:00:00Z,34,130,30,30,130
AL011998,23,1998-08-02T03:00:00Z,34,100,0,0,100
AL011998,25,1998-08-02T15:00:00Z,34,120,0,0,100
AL011999,4,1999-06-12T15:00:00Z,34,60,30,30,30
AL011999,5,1999-06-12T21:00:00Z,34,60,30,30,30
AL011999,6,1999-06-13T03:00:00Z,34,80,60,50,50
AL011999,7,1999-06-13T09:00:00Z,34,100,75,50,50
AL011999,7,1999-06-13T09:00:00Z,50,40,20,20,20
AL011999,8,1999-06-13T15:00:00Z,34,100,75,50,75
AL011999,8,1999-06-13T15:00:00Z,50,40,30,30,40
AL011999,9,1999-06-13T21:00:00Z,34,90,90,75,90
AL011999,9,1999-06-13T21:00:00Z,50,40,30,40,40
AL011999,10,1999-06-14T03:00:00Z,34,90,75,75,90
AL011999,11,1999-06-14T09:00:00Z,34,90,75,75,90
AL011999,12,1999-06-14T15:00:00Z,34,100,75,75,75
AL011999,13,1999-06-14T21:00:00Z,34,100,75,75,75
AL011999,14,1999-06-15T03:00:00Z,34,100,100,50,50
AL011999,15,1999-06-15T09:00:00Z,34,100,100,50,50
AL011999,16,1999-06-15T15:00:00Z,34,100,100,50,50
AL011999,17,1999-06-15T21:00:00Z,34,100,100,50,50
AL011999,18,1999-06-16T03:00:00Z,34,125,50,50,75
AL011999,18,1999-06-16T03:00:00Z,50,100,0,0,0
